Produto;Unidade;UF;Ano;Jan ;Fev ;Mar ;Abr ;Mai ;Jun ;Jul ;Ago ;Set ;Out ;Nov ;Dez 
DORMEX, 520 G/L, CIANAMIDA, BASF S.A., BENTLEY, CARBIMIDA;L;SC;2024;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;169,50 ;0,00 ;0,00 ;0,00 
ESTIMULANTE ETHREL PA;KG;GO;2024;0,00 ;0,00 ;330,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
ESTIMULANTE ETHREL PA;KG;MT;2024;0,00 ;0,00 ;342,21 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
ESTIMULANTE ETHREL PA;L;MG;2024;0,00 ;0,00 ;340,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
ESTIMULANTE ETHREL PA;KG;ES;2024;0,00 ;0,00 ;312,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
ESTIMULANTE ETHREL PA;L;BA;2024;0,00 ;0,00 ;375,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
MODDUS, 250 G/L, TRINEXAPAQUE-ETÍLICO, SYNGENTA PROTEÇÃO DE CULTIVOS LTDA., T 124 GA NZ, ÁCIDO ARILOXIFENOXIPROPIÔNICO, CE;L;SP;2024;141,00 ;0,00 ;149,50 ;0,00 ;159,20 ;0,00 ;151,25 ;0,00 ;91,00 ;0,00 ;0,00 ;0,00 
MODDUS, 250 G/L, TRINEXAPAQUE-ETÍLICO, SYNGENTA ;L;DF;2024;255,00 ;250,00 ;250,00 ;0,00 ;250,00 ;0,00 ;252,00 ;0,00 ;250,00 ;250,00 ;0,00 ;0,00 
MODDUS, 250 G/L, TRINEXAPAQUE-ETÍLICO, SYNGENTA PROTEÇÃO DE CULTIVOS LTDA., T 124 GA NZ, ÁCIDO ARILOXIFENOXIPROPIÔNICO, CE;L;MG;2024;183,50 ;183,50 ;183,00 ;0,00 ;185,00 ;0,00 ;180,00 ;0,00 ;185,00 ;0,00 ;0,00 ;0,00 
MODDUS, 250 G/L, TRINEXAPAQUE-ETÍLICO, SYNGENTA PROTEÇÃO DE CULTIVOS LTDA., T 124 GA NZ, ÁCIDO ARILOXIFENOXIPROPIÔNICO, CE;L;PR;2024;208,46 ;206,15 ;207,88 ;0,00 ;120,78 ;0,00 ;130,99 ;0,00 ;145,87 ;0,00 ;0,00 ;0,00 
MODDUS, 250 G/L, TRINEXAPAQUE-;L;RS;2024;174,00 ;177,00 ;114,73 ;0,00 ;115,00 ;0,00 ;157,00 ;0,00 ;157,00 ;0,00 ;0,00 ;0,00 
PIX HC, 250 G/L, MEPIQUATE, AMÔNIO QUATERNÁRIO;L;MT;2024;112,39 ;111,20 ;109,01 ;0,00 ;107,45 ;0,00 ;106,56 ;0,00 ;100,18 ;0,00 ;0,00 ;0,00 
PIX HC, 250 G/L, MEPIQUATE, AMÔNIO QUATERNÁRIO;L;BA;2024;57,90 ;56,00 ;55,00 ;57,50 ;59,90 ;0,00 ;65,70 ;0,00 ;48,00 ;0,00 ;0,00 ;0,00 
PIX HC, 250 G/L, MEPIQUATE, AMÔNIO QUATERNÁRIO;L;GO;2024;245,00 ;240,00 ;240,00 ;0,00 ;99,90 ;0,00 ;99,00 ;0,00 ;102,00 ;0,00 ;0,00 ;0,00 
PIX HC, 250 G/L, MEPIQUATE, AMÔNIO QUATERNÁRIO;L;MS;2024;48,00 ;48,00 ;24,90 ;0,00 ;51,64 ;0,00 ;50,00 ;0,00 ;30,63 ;0,00 ;0,00 ;0,00 
STIMULATE;L;MG;2024;0,00 ;0,00 ;211,70 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;172,93 ;0,00 ;0,00 
STIMULATE, 0,09 G/L + 0,05 G/L + 0,05 G/L, CINETINA+ ÁCIDO GIBERÉLICO + ;L;PR;2024;203,17 ;223,62 ;197,81 ;0,00 ;223,62 ;0,00 ;236,24 ;0,00 ;200,61 ;164,98 ;0,00 ;0,00 
