Localidade;Unidade;Jan ;Fev ;Mar ;Abr ;Mai ;Jun ;Jul ;Ago ;Set ;Out ;Nov ;Dez 
BA;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
BA;60,00 KG;94,96 ;94,96 ;94,96 ;94,96 ;94,96 ;94,96 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 
DF;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
DF;60,00 KG;94,96 ;94,96 ;94,96 ;94,96 ;94,96 ;94,96 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 
ES;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
ES;60,00 KG;90,45 ;90,45 ;90,45 ;90,45 ;90,45 ;90,45 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 
GO;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
GO;60,00 KG;94,96 ;94,96 ;94,96 ;94,96 ;94,96 ;94,96 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 
MG;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
MG;60,00 KG;90,45 ;90,45 ;90,45 ;90,45 ;90,45 ;90,45 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 
MS;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
MS;60,00 KG;94,96 ;94,96 ;94,96 ;94,96 ;94,96 ;94,96 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 
MT;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
MT;60,00 KG;94,96 ;94,96 ;94,96 ;94,96 ;94,96 ;94,96 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 
PR;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
PR;60,00 KG;87,77 ;87,77 ;87,77 ;87,77 ;87,77 ;87,77 ;78,51 ;78,51 ;78,51 ;78,51 ;78,51 ;78,51 
RJ;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
RJ;60,00 KG;90,45 ;90,45 ;90,45 ;90,45 ;90,45 ;90,45 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 
RS;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
RS;60,00 KG;87,77 ;87,77 ;87,77 ;87,77 ;87,77 ;87,77 ;78,51 ;78,51 ;78,51 ;78,51 ;78,51 ;78,51 
SC;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SC;60,00 KG;87,77 ;87,77 ;87,77 ;87,77 ;87,77 ;87,77 ;78,51 ;78,51 ;78,51 ;78,51 ;78,51 ;78,51 
SP;T;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SP;60,00 KG;90,45 ;90,45 ;90,45 ;90,45 ;90,45 ;90,45 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 ;80,00 
