Localidade;Unidade;Jan ;Fev ;Mar ;Abr ;Mai ;Jun ;Jul ;Ago ;Set ;Out ;Nov ;Dez 
AC;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
AL;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
AM;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
AP;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
BA;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
CE;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
DF;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
ES;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
GO;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
MA;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
MG;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
MS;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
MT;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
PA;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
PB;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
PE;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
PI;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
PR;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
RJ;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
RN;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
RO;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
RR;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
RS;50,00 KG;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 
SC;50,00 KG;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 ;20,55 
SE;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
SP;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
TO;60,00 KG;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 ;26,90 
