Produto;Unidade;UF;Ano;Jan ;Fev ;Mar ;Abr ;Mai ;Jun ;Jul ;Ago ;Set ;Out ;Nov ;Dez 
SEMENTE DE ALHO, LIVRE DE VÍRUS;KG;GO;2024;0,00 ;0,00 ;17,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE ALHO, LIVRE DE VÍRUS;KG;MG;2024;0,00 ;0,00 ;25,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE ALHO, LIVRE DE VÍRUS;KG;SC;2024;0,00 ;0,00 ;30,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE ALHO, PRÓPRIA;KG;MG;2024;0,00 ;0,00 ;19,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE ALHO, PRÓPRIA;KG;SC;2024;0,00 ;0,00 ;20,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE AMENDOIM, PRÓPRIA;KG;SP;2024;0,00 ;0,00 ;16,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE AMENDOIM, TRATADA;KG;SP;2024;0,00 ;0,00 ;16,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE ARROZ, IRGA, JM LIDER 2050 TR, CERTIFICADA;KG;SE;2024;0,00 ;0,00 ;7,50 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;9,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE ARROZ, IRGA, JM LIDER 2050 TR, CERTIFICADA;KG;RS;2024;3,50 ;3,40 ;3,50 ;0,00 ;3,50 ;0,00 ;3,50 ;0,00 ;5,15 ;0,00 ;0,00 ;0,00 
SEMENTE DE ARROZ, IRGA, ;KG;RS;2024;3,50 ;3,50 ;3,60 ;0,00 ;3,60 ;0,00 ;3,50 ;0,00 ;5,21 ;0,00 ;0,00 ;0,00 
SEMENTE DE ARROZ, PRECOCE;KG;MT;2024;8,30 ;8,30 ;8,30 ;0,00 ;8,30 ;0,00 ;8,30 ;0,00 ;9,10 ;0,00 ;0,00 ;0,00 
SEMENTE DE ARROZ, PUITÁ, MTS 60, IRRIGADO;KG;RS;2024;3,40 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE ARROZ, SEMENTES CERATTI, COM UMA CUBA;KG;RS;2024;3,47 ;3,40 ;3,53 ;0,00 ;3,53 ;0,00 ;3,50 ;0,00 ;5,23 ;0,00 ;0,00 ;0,00 
SEMENTE DE AVEIA;KG;RS;2024;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;5,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE AVEIA, BRANCO (A);KG;RS;2024;2,50 ;2,50 ;2,50 ;0,00 ;2,50 ;0,00 ;3,97 ;0,00 ;3,74 ;0,00 ;0,00 ;0,00 
SEMENTE DE AVEIA, FISCALIZADA, PRETA - CULTIVAR;KG;PR;2024;0,00 ;0,00 ;4,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE AVEIA, ;KG;SC;2024;3,41 ;3,74 ;3,74 ;0,00 ;4,75 ;0,00 ;4,75 ;0,00 ;4,75 ;0,00 ;0,00 ;0,00 
SEMENTE DE AVEIA, FISCALIZADA, PRETA - CULTIVAR;40,00 ;RS;2024;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;200,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE AVEIA, PRETO (A);60,00 ;RS;2024;0,00 ;0,00 ;198,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;208,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE AVEIA, PRETO (A);KG;PR;2024;0,00 ;0,00 ;3,30 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;3,20 ;3,20 ;0,00 ;0,00 
SEMENTE DE AVEIA, PRETO (A);KG;RS;2024;0,00 ;0,00 ;4,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE AVEIA, PRETO (A);KG;SC;2024;0,00 ;0,00 ;2,50 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE AZEVÉM;25,00 ;RS;2024;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;320,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE BATATA;KG;RS;2024;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;7,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE CEBOLA, CRIOULA;KG;SC;2024;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;582,17 ;0,00 ;0,00 ;0,00 
SEMENTE DE CEVADA, TRATADA;KG;PR;2024;0,00 ;0,00 ;5,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE ;60,00 ;AL;2024;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;200,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE GIRASSOL, HÍBRIDO;150000 ;MT;2024;0,00 ;0,00 ;1.930,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE GIRASSOL, SELECIONADA / TRATADA, AGUARA 3;KG;RS;2024;0,00 ;0,00 ;45,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE JUTA;KG;AM;2024;0,00 ;0,00 ;64,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;80,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MALVA;KG;AM;2024;0,00 ;0,00 ;64,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;80,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MAMONA, FISCALIZADA, CULTIVAR;KG;BA;2024;0,00 ;0,00 ;12,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHETO;KG;BA;2024;4,00 ;4,00 ;4,00 ;4,00 ;4,20 ;0,00 ;4,20 ;0,00 ;4,20 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHETO;KG;MG;2024;16,00 ;0,00 ;16,00 ;0,00 ;17,00 ;0,00 ;17,00 ;0,00 ;17,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHETO;KG;SC;2024;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;8,66 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHETO;KG;MS;2024;3,00 ;3,00 ;4,00 ;0,00 ;4,00 ;0,00 ;4,00 ;0,00 ;4,50 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHETO, CERTIFICADA, CULTIVAR;KG;MT;2024;5,80 ;5,80 ;5,80 ;0,00 ;5,85 ;0,00 ;5,92 ;0,00 ;5,92 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, ALTA ;UN;SC;2024;1.646,00 ;1.646,00 ;1.646,00 ;0,00 ;1.537,50 ;0,00 ;1.538,00 ;0,00 ;1.501,50 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, CERTIFICADA, HÍBRIDO SIMPLES;60000,0 ;MG;2024;1.400,00 ;0,00 ;1.400,00 ;0,00 ;1.400,00 ;0,00 ;1.400,00 ;0,00 ;1.260,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, CERTIFICADA, HÍBRIDO SIMPLES OGM BT;KG;MT;2024;32,00 ;32,00 ;32,00 ;0,00 ;32,34 ;0,00 ;33,06 ;0,00 ;33,06 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, CERTIFICADA, HÍBRIDO TRIPLO;20,00 ;RS;2024;0,00 ;0,00 ;935,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;650,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, CERTIFICADA, OGM;60000,0 ;MG;2024;0,00 ;0,00 ;1.100,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, CERTIFICADA, VARIEDADE;60000,0 ;MG;2024;0,00 ;0,00 ;620,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, DU PONT DO BRASIL S.A. ;60000,0 ;BA;2024;0,00 ;0,00 ;1.250,00 ;0,00 ;0,00 ;0,00 ;1.250,00 ;0,00 ;1.250,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, HÍBRIDO;60000,0 ;GO;2024;800,00 ;800,00 ;800,00 ;0,00 ;789,00 ;0,00 ;789,00 ;0,00 ;800,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, HÍBRIDO SIMPLES OGM BT RR;KG;RS;2024;42,04 ;43,69 ;45,75 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SEMENTE DE MILHO, HÍBRIDO SIMPLES OGM BT RR;60000,0 ;GO;2024;1.300,00 ;1.300,00 ;1.300,00 ;0,00 ;1.300,00 ;0,00 ;1.300,00 ;0,00 ;1.300,00 ;0,00 ;0,00 ;0,00 
