Localidade;Unidade;Jan ;Fev ;Mar ;Abr ;Mai ;Jun ;Jul ;Ago ;Set ;Out ;Nov ;Dez 
AC;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
AL;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
AM;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
AP;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
BA;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54  
CE;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
DF;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
ES;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
GO;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
MA;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
MG;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
MS;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
MT;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
PA;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
PB;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
PE;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
PI;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
PR;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
RJ;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
RN;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
RO;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
RR;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
RS;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
SC;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
SE;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
SP;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
TO;60,00 KG;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 ;86,54 
